ID,IV1,IV2,IV3,IV4,Participante
9,Botellas,Alta,Text,QT,16
8,Spam,Baja,Pict,QT,16
5,Botellas,Baja,Pict,QT,17
11,VIH,Alta,Text,QT,17
16,Spam,Baja,Text,QT,17
2,Cancer,Alta,Pict,QT,17
10,Cancer,Alta,Text,QT,18
1,Botellas,Alta,Pict,QT,18
8,Spam,Baja,Pict,QT,18
15,VIH,Baja,Text,QT,18
3,VIH,Alta,Pict,QT,19
6,Cancer,Baja,Pict,QT,19
9,Botellas,Alta,Text,QT,19
16,Spam,Baja,Text,QT,19
4,Spam,Alta,Pict,QT,20
5,Botellas,Baja,Pict,QT,20
11,VIH,Alta,Text,QT,20
14,Cancer,Baja,Text,QT,20
7,VIH,Baja,Pict,QT,21
12,Spam,Alta,Text,QT,21
13,Botellas,Baja,Text,QT,21
2,Cancer,Alta,Pict,QT,21
10,Cancer,Alta,Text,QT,22
13,Botellas,Baja,Text,QT,22
8,Spam,Baja,Pict,QT,22
3,VIH,Alta,Pict,QT,22
1,Botellas,Alta,Pict,QT,23
8,Spam,Baja,Pict,QT,23
14,Cancer,Baja,Text,QT,23
11,VIH,Alta,Text,QT,23
4,Spam,Alta,Pict,QT,24
15,VIH,Baja,Text,QT,24
9,Botellas,Alta,Text,QT,24
6,Cancer,Baja,Pict,QT,24
5,Botellas,Baja,Pict,QT,25
15,VIH,Baja,Text,QT,25
2,Cancer,Alta,Pict,QT,25
12,Spam,Alta,Text,QT,25
7,VIH,Baja,Pict,QT,26
16,Spam,Baja,Text,QT,26
10,Cancer,Alta,Text,QT,26
1,Botellas,Alta,Pict,QT,26
3,VIH,Alta,Pict,QT,27
6,Cancer,Baja,Pict,QT,27
13,Botellas,Baja,Text,QT,27
12,Spam,Alta,Text,QT,27
4,Spam,Alta,Pict,QT,28
14,Cancer,Baja,Text,QT,28
11,VIH,Alta,Text,QT,28
5,Botellas,Baja,Pict,QT,28
7,VIH,Baja,Pict,QT,29
12,Spam,Alta,Text,QT,29
2,Cancer,Alta,Pict,QT,29
13,Botellas,Baja,Text,QT,29
10,Cancer,Alta,Text,QT,30
3,VIH,Alta,Pict,QT,30
13,Botellas,Baja,Text,QT,30
8,Spam,Baja,Pict,QT,30
1,Botellas,Alta,Pict,QT,31
15,VIH,Baja,Text,QT,31
8,Spam,Baja,Pict,QT,31
10,Cancer,Alta,Text,QT,31
4,Spam,Alta,Pict,QT,32
6,Cancer,Baja,Pict,QT,32
9,Botellas,Alta,Text,QT,32
15,VIH,Baja,Text,QT,32
5,Botellas,Baja,Pict,QT,33
4,Spam,Alta,Pict,QT,33
10,Cancer,Alta,Text,QT,33
15,VIH,Baja,Text,QT,33
7,VIH,Baja,Pict,QT,34
16,Spam,Baja,Text,QT,34
9,Botellas,Alta,Text,QT,34
2,Cancer,Alta,Pict,QT,34
14,Cancer,Baja,Text,QT,35
4,Spam,Alta,Pict,QT,35
9,Botellas,Alta,Text,QT,35
7,VIH,Baja,Pict,QT,35
1,Botellas,Alta,Pict,QT,36
15,VIH,Baja,Text,QT,36
12,Spam,Alta,Text,QT,36
6,Cancer,Baja,Pict,QT,36
3,VIH,Alta,Pict,QT,37
16,Spam,Baja,Text,QT,37
6,Cancer,Baja,Pict,QT,37
9,Botellas,Alta,Text,QT,37
5,Botellas,Baja,Pict,QT,38
4,Spam,Alta,Pict,QT,38
15,VIH,Baja,Text,QT,38
10,Cancer,Alta,Text,QT,38
11,VIH,Alta,Text,QT,39
14,Cancer,Baja,Text,QT,39
1,Botellas,Alta,Pict,QT,39
8,Spam,Baja,Pict,QT,39
2,Cancer,Alta,Pict,QT,40
11,VIH,Alta,Text,QT,40
13,Botellas,Baja,Text,QT,40
8,Spam,Baja,Pict,QT,40
3,VIH,Alta,Pict,QT,41
16,Spam,Baja,Text,QT,41
6,Cancer,Baja,Pict,QT,41
9,Botellas,Alta,Text,QT,41
5,Botellas,Baja,Pict,QT,42
3,VIH,Alta,Pict,QT,42
10,Cancer,Alta,Text,QT,42
16,Spam,Baja,Text,QT,42
7,VIH,Baja,Pict,QT,43
1,Botellas,Alta,Pict,QT,43
10,Cancer,Alta,Text,QT,43
16,Spam,Baja,Text,QT,43
12,Spam,Alta,Text,QT,44
5,Botellas,Baja,Pict,QT,44
2,Cancer,Alta,Pict,QT,44
15,VIH,Baja,Text,QT,44
14,Cancer,Baja,Text,QT,45
11,VIH,Alta,Text,QT,45
8,Spam,Baja,Pict,QT,45
1,Botellas,Alta,Pict,QT,45
7,VIH,Baja,Pict,QT,46
2,Cancer,Alta,Pict,QT,46
12,Spam,Alta,Text,QT,46
13,Botellas,Baja,Text,QT,46
14,Cancer,Baja,Text,QT,47
12,Spam,Alta,Text,QT,47
1,Botellas,Alta,Pict,QT,47
7,VIH,Baja,Pict,QT,47
3,VIH,Alta,Pict,QT,48
14,Cancer,Baja,Text,QT,48
12,Spam,Alta,Text,QT,48
5,Botellas,Baja,Pict,QT,48
4,Spam,Alta,Pict,QT,49
15,VIH,Baja,Text,QT,49
6,Cancer,Baja,Pict,QT,49
9,Botellas,Alta,Text,QT,49
11,VIH,Alta,Text,QT,50
4,Spam,Alta,Pict,QT,50
6,Cancer,Baja,Pict,QT,50
13,Botellas,Baja,Text,QT,50
2,Cancer,Alta,Pict,QT,51
7,VIH,Baja,Pict,QT,51
16,Spam,Baja,Text,QT,51
9,Botellas,Alta,Text,QT,51
3,VIH,Alta,Pict,QT,52
10,Cancer,Alta,Text,QT,52
16,Spam,Baja,Text,QT,52
5,Botellas,Baja,Pict,QT,52
8,Spam,Baja,Pict,QT,53
1,Botellas,Alta,Pict,QT,53
11,VIH,Alta,Text,QT,53
14,Cancer,Baja,Text,QT,53
13,Botellas,Baja,Text,QT,54
4,Spam,Alta,Pict,QT,54
10,Cancer,Alta,Text,QT,54
7,VIH,Baja,Pict,QT,54
2,Cancer,Alta,Pict,QT,55
15,VIH,Baja,Text,QT,55
12,Spam,Alta,Text,QT,55
5,Botellas,Baja,Pict,QT,55
3,VIH,Alta,Pict,QT,56
14,Cancer,Baja,Text,QT,56
9,Botellas,Alta,Text,QT,56
8,Spam,Baja,Pict,QT,56
11,VIH,Alta,Text,QT,57
8,Spam,Baja,Pict,QT,57
1,Botellas,Alta,Pict,QT,57
14,Cancer,Baja,Text,QT,57
13,Botellas,Baja,Text,QT,58
4,Spam,Alta,Pict,QT,58
11,VIH,Alta,Text,QT,58
6,Cancer,Baja,Pict,QT,58
2,Cancer,Alta,Pict,QT,59
12,Spam,Alta,Text,QT,59
13,Botellas,Baja,Text,QT,59
7,VIH,Baja,Pict,QT,59
3,VIH,Alta,Pict,QT,60
6,Cancer,Baja,Pict,QT,60
9,Botellas,Alta,Text,QT,60
16,Spam,Baja,Text,QT,60
5,Botellas,Baja,Pict,QT,61
14,Cancer,Baja,Text,QT,61
12,Spam,Alta,Text,QT,61
3,VIH,Alta,Pict,QT,61
10,Cancer,Alta,Text,QT,62
15,VIH,Baja,Text,QT,62
4,Spam,Alta,Pict,QT,62
5,Botellas,Baja,Pict,QT,62
1,Botellas,Alta,Pict,QT,63
12,Spam,Alta,Text,QT,63
14,Cancer,Baja,Text,QT,63
7,VIH,Baja,Pict,QT,63
2,Cancer,Alta,Pict,QT,64
16,Spam,Baja,Text,QT,64
9,Botellas,Alta,Text,QT,64
7,VIH,Baja,Pict,QT,64
8,Spam,Baja,Pict,QT,65
15,VIH,Baja,Text,QT,65
10,Cancer,Alta,Text,QT,65
1,Botellas,Alta,Pict,QT,65
11,VIH,Alta,Text,QT,66
6,Cancer,Baja,Pict,QT,66
13,Botellas,Baja,Text,QT,66
4,Spam,Alta,Pict,QT,66
2,Cancer,Alta,Pict,QT,67
5,Botellas,Baja,Pict,QT,67
15,VIH,Baja,Text,QT,67
12,Spam,Alta,Text,QT,67
3,VIH,Alta,Pict,QT,68
8,Spam,Baja,Pict,QT,68
14,Cancer,Baja,Text,QT,68
9,Botellas,Alta,Text,QT,68
10,Cancer,Alta,Text,QT,69
7,VIH,Baja,Pict,QT,69
1,Botellas,Alta,Pict,QT,69
16,Spam,Baja,Text,QT,69
11,VIH,Alta,Text,QT,70
6,Cancer,Baja,Pict,QT,70
4,Spam,Alta,Pict,QT,70
13,Botellas,Baja,Text,QT,70
2,Cancer,Alta,Pict,QT,71
15,VIH,Baja,Text,QT,71
5,Botellas,Baja,Pict,QT,71
12,Spam,Alta,Text,QT,71
3,VIH,Alta,Pict,QT,72
5,Botellas,Baja,Pict,QT,72
10,Cancer,Alta,Text,QT,72
16,Spam,Baja,Text,QT,72
8,Spam,Baja,Pict,QT,73
14,Cancer,Baja,Text,QT,73
3,VIH,Alta,Pict,QT,73
9,Botellas,Alta,Text,QT,73
11,VIH,Alta,Text,QT,74
13,Botellas,Baja,Text,QT,74
8,Spam,Baja,Pict,QT,74
2,Cancer,Alta,Pict,QT,74
1,Botellas,Alta,Pict,QT,75
15,VIH,Baja,Text,QT,75
6,Cancer,Baja,Pict,QT,75
12,Spam,Alta,Text,QT,75
4,Spam,Alta,Pict,QT,76
7,VIH,Baja,Pict,QT,76
13,Botellas,Baja,Text,QT,76
10,Cancer,Alta,Text,QT,76
11,VIH,Alta,Text,QT,77
1,Botellas,Alta,Pict,QT,77
14,Cancer,Baja,Text,QT,77
8,Spam,Baja,Pict,QT,77
16,Spam,Baja,Text,QT,78
10,Cancer,Alta,Text,QT,78
3,VIH,Alta,Pict,QT,78
5,Botellas,Baja,Pict,QT,78
2,Cancer,Alta,Pict,QT,79
15,VIH,Baja,Text,QT,79
12,Spam,Alta,Text,QT,79
5,Botellas,Baja,Pict,QT,79
4,Spam,Alta,Pict,QT,80
7,VIH,Baja,Pict,QT,80
9,Botellas,Alta,Text,QT,80
14,Cancer,Baja,Text,QT,80
6,Cancer,Baja,Pict,QT,81
11,VIH,Alta,Text,QT,81
13,Botellas,Baja,Text,QT,81
4,Spam,Alta,Pict,QT,81
16,Spam,Baja,Text,QT,82
9,Botellas,Alta,Text,QT,82
6,Cancer,Baja,Pict,QT,82
3,VIH,Alta,Pict,QT,82
1,Botellas,Alta,Pict,QT,83
12,Spam,Alta,Text,QT,83
7,VIH,Baja,Pict,QT,83
14,Cancer,Baja,Text,QT,83
2,Cancer,Alta,Pict,QT,84
11,VIH,Alta,Text,QT,84
8,Spam,Baja,Pict,QT,84
13,Botellas,Baja,Text,QT,84
10,Cancer,Alta,Text,QT,85
1,Botellas,Alta,Pict,QT,85
7,VIH,Baja,Pict,QT,85
16,Spam,Baja,Text,QT,85
2,Cancer,Alta,Pict,QT,86
13,Botellas,Baja,Text,QT,86
11,VIH,Alta,Text,QT,86
8,Spam,Baja,Pict,QT,86
3,VIH,Alta,Pict,QT,87
9,Botellas,Alta,Text,QT,87
8,Spam,Baja,Pict,QT,87
14,Cancer,Baja,Text,QT,87
4,Spam,Alta,Pict,QT,88
7,VIH,Baja,Pict,QT,88
13,Botellas,Baja,Text,QT,88
10,Cancer,Alta,Text,QT,88
5,Botellas,Baja,Pict,QT,89
12,Spam,Alta,Text,QT,89
3,VIH,Alta,Pict,QT,89
14,Cancer,Baja,Text,QT,89
6,Cancer,Baja,Pict,QT,90
4,Spam,Alta,Pict,QT,90
13,Botellas,Baja,Text,QT,90
11,VIH,Alta,Text,QT,90
15,VIH,Baja,Text,QT,91
6,Cancer,Baja,Pict,QT,91
1,Botellas,Alta,Pict,QT,91
12,Spam,Alta,Text,QT,91
16,Spam,Baja,Text,QT,92
9,Botellas,Alta,Text,QT,92
6,Cancer,Baja,Pict,QT,92
3,VIH,Alta,Pict,QT,92
2,Cancer,Alta,Pict,QT,93
15,VIH,Baja,Text,QT,93
5,Botellas,Baja,Pict,QT,93
12,Spam,Alta,Text,QT,93
10,Cancer,Alta,Text,QT,94
3,VIH,Alta,Pict,QT,94
16,Spam,Baja,Text,QT,94
5,Botellas,Baja,Pict,QT,94
1,Botellas,Alta,Pict,QT,95
10,Cancer,Alta,Text,QT,95
7,VIH,Baja,Pict,QT,95
16,Spam,Baja,Text,QT,95
2,Cancer,Alta,Pict,QT,96
16,Spam,Baja,Text,QT,96
5,Botellas,Baja,Pict,QT,96
11,VIH,Alta,Text,QT,96
4,Spam,Alta,Pict,QT,97
7,VIH,Baja,Pict,QT,97
9,Botellas,Alta,Text,QT,97
14,Cancer,Baja,Text,QT,97
8,Spam,Baja,Pict,QT,98
11,VIH,Alta,Text,QT,98
13,Botellas,Baja,Text,QT,98
2,Cancer,Alta,Pict,QT,98
15,VIH,Baja,Text,QT,99
10,Cancer,Alta,Text,QT,99
8,Spam,Baja,Pict,QT,99
1,Botellas,Alta,Pict,QT,99
4,Spam,Alta,Pict,QT,100
7,VIH,Baja,Pict,QT,100
14,Cancer,Baja,Text,QT,100
9,Botellas,Alta,Text,QT,100
