ID,IV1,IV2,IV3,IV4,Participante
17,Botellas,Alta,Pict,QL,30
28,Spam,Alta,Text,QL,30
23,VIH,Baja,Pict,QL,30
14,Cancer,Baja,Text,QT,31
7,VIH,Baja,Pict,QT,31
1,Botellas,Alta,Pict,QT,31
12,Spam,Alta,Text,QT,31
17,Botellas,Alta,Pict,QL,32
27,VIH,Alta,Text,QL,32
32,Spam,Baja,Text,QL,32
22,Cancer,Baja,Pict,QL,32
5,Botellas,Baja,Pict,QT,33
12,Spam,Alta,Text,QT,33
2,Cancer,Alta,Pict,QT,33
15,VIH,Baja,Text,QT,33
26,Cancer,Alta,Text,QL,34
29,Botellas,Baja,Text,QL,34
20,Spam,Alta,Pict,QL,34
23,VIH,Baja,Pict,QL,34
14,Cancer,Baja,Text,QT,35
12,Spam,Alta,Text,QT,35
5,Botellas,Baja,Pict,QT,35
3,VIH,Alta,Pict,QT,35
18,Cancer,Alta,Pict,QL,36
27,VIH,Alta,Text,QL,36
21,Botellas,Baja,Pict,QL,36
32,Spam,Baja,Text,QL,36
8,Spam,Baja,Pict,QT,37
13,Botellas,Baja,Text,QT,37
10,Cancer,Alta,Text,QT,37
3,VIH,Alta,Pict,QT,37
28,Spam,Alta,Text,QL,38
23,VIH,Baja,Pict,QL,38
30,Cancer,Baja,Text,QL,38
17,Botellas,Alta,Pict,QL,38
1,Botellas,Alta,Pict,QT,39
7,VIH,Baja,Pict,QT,39
12,Spam,Alta,Text,QT,39
14,Cancer,Baja,Text,QT,39
26,Cancer,Alta,Text,QL,40
32,Spam,Baja,Text,QL,40
17,Botellas,Alta,Pict,QL,40
23,VIH,Baja,Pict,QL,40
5,Botellas,Baja,Pict,QT,41
10,Cancer,Alta,Text,QT,41
3,VIH,Alta,Pict,QT,41
16,Spam,Baja,Text,QT,41
18,Cancer,Alta,Pict,QL,42
27,VIH,Alta,Text,QL,42
21,Botellas,Baja,Pict,QL,42
32,Spam,Baja,Text,QL,42
15,VIH,Baja,Text,QT,43
2,Cancer,Alta,Pict,QT,43
12,Spam,Alta,Text,QT,43
5,Botellas,Baja,Pict,QT,43
23,VIH,Baja,Pict,QL,44
26,Cancer,Alta,Text,QL,44
20,Spam,Alta,Pict,QL,44
29,Botellas,Baja,Text,QL,44
8,Spam,Baja,Pict,QT,45
1,Botellas,Alta,Pict,QT,45
15,VIH,Baja,Text,QT,45
10,Cancer,Alta,Text,QT,45
30,Cancer,Baja,Text,QL,46
28,Spam,Alta,Text,QL,46
19,VIH,Alta,Pict,QL,46
21,Botellas,Baja,Pict,QL,46
3,VIH,Alta,Pict,QT,47
14,Cancer,Baja,Text,QT,47
5,Botellas,Baja,Pict,QT,47
12,Spam,Alta,Text,QT,47
19,VIH,Alta,Pict,QL,48
32,Spam,Baja,Text,QL,48
26,Cancer,Alta,Text,QL,48
21,Botellas,Baja,Pict,QL,48
11,VIH,Alta,Text,QT,49
5,Botellas,Baja,Pict,QT,49
2,Cancer,Alta,Pict,QT,49
16,Spam,Baja,Text,QT,49
22,Cancer,Baja,Pict,QL,50
29,Botellas,Baja,Text,QL,50
28,Spam,Alta,Text,QL,50
19,VIH,Alta,Pict,QL,50
3,VIH,Alta,Pict,QT,51
9,Botellas,Alta,Text,QT,51
16,Spam,Baja,Text,QT,51
6,Cancer,Baja,Pict,QT,51
17,Botellas,Alta,Pict,QL,52
23,VIH,Baja,Pict,QL,52
32,Spam,Baja,Text,QL,52
26,Cancer,Alta,Text,QL,52
7,VIH,Baja,Pict,QT,53
16,Spam,Baja,Text,QT,53
9,Botellas,Alta,Text,QT,53
2,Cancer,Alta,Pict,QT,53
28,Spam,Alta,Text,QL,54
29,Botellas,Baja,Text,QL,54
18,Cancer,Alta,Pict,QL,54
23,VIH,Baja,Pict,QL,54
3,VIH,Alta,Pict,QT,55
5,Botellas,Baja,Pict,QT,55
12,Spam,Alta,Text,QT,55
14,Cancer,Baja,Text,QT,55
26,Cancer,Alta,Text,QL,56
23,VIH,Baja,Pict,QL,56
32,Spam,Baja,Text,QL,56
17,Botellas,Alta,Pict,QL,56
7,VIH,Baja,Pict,QT,57
2,Cancer,Alta,Pict,QT,57
9,Botellas,Alta,Text,QT,57
16,Spam,Baja,Text,QT,57
20,Spam,Alta,Pict,QL,58
29,Botellas,Baja,Text,QL,58
22,Cancer,Baja,Pict,QL,58
27,VIH,Alta,Text,QL,58
3,VIH,Alta,Pict,QT,59
13,Botellas,Baja,Text,QT,59
6,Cancer,Baja,Pict,QT,59
12,Spam,Alta,Text,QT,59
25,Botellas,Alta,Text,QL,60
19,VIH,Alta,Pict,QL,60
22,Cancer,Baja,Pict,QL,60
32,Spam,Baja,Text,QL,60
8,Spam,Baja,Pict,QT,61
11,VIH,Alta,Text,QT,61
14,Cancer,Baja,Text,QT,61
1,Botellas,Alta,Pict,QT,61
24,Spam,Baja,Pict,QL,62
30,Cancer,Baja,Text,QL,62
25,Botellas,Alta,Text,QL,62
19,VIH,Alta,Pict,QL,62
3,VIH,Alta,Pict,QT,63
16,Spam,Baja,Text,QT,63
10,Cancer,Alta,Text,QT,63
5,Botellas,Baja,Pict,QT,63
27,VIH,Alta,Text,QL,64
21,Botellas,Baja,Pict,QL,64
32,Spam,Baja,Text,QL,64
18,Cancer,Alta,Pict,QL,64
8,Spam,Baja,Pict,QT,65
11,VIH,Alta,Text,QT,65
1,Botellas,Alta,Pict,QT,65
14,Cancer,Baja,Text,QT,65
22,Cancer,Baja,Pict,QL,66
17,Botellas,Alta,Pict,QL,66
32,Spam,Baja,Text,QL,66
27,VIH,Alta,Text,QL,66
2,Cancer,Alta,Pict,QT,67
9,Botellas,Alta,Text,QT,67
15,VIH,Baja,Text,QT,67
8,Spam,Baja,Pict,QT,67
31,VIH,Baja,Text,QL,68
24,Spam,Baja,Pict,QL,68
26,Cancer,Alta,Text,QL,68
17,Botellas,Alta,Pict,QL,68
12,Spam,Alta,Text,QT,69
3,VIH,Alta,Pict,QT,69
14,Cancer,Baja,Text,QT,69
5,Botellas,Baja,Pict,QT,69
18,Cancer,Alta,Pict,QL,70
28,Spam,Alta,Text,QL,70
23,VIH,Baja,Pict,QL,70
29,Botellas,Baja,Text,QL,70
2,Cancer,Alta,Pict,QT,71
13,Botellas,Baja,Text,QT,71
7,VIH,Baja,Pict,QT,71
12,Spam,Alta,Text,QT,71
21,Botellas,Baja,Pict,QL,72
26,Cancer,Alta,Text,QL,72
32,Spam,Baja,Text,QL,72
19,VIH,Alta,Pict,QL,72
10,Cancer,Alta,Text,QT,73
16,Spam,Baja,Text,QT,73
3,VIH,Alta,Pict,QT,73
5,Botellas,Baja,Pict,QT,73
22,Cancer,Baja,Pict,QL,74
19,VIH,Alta,Pict,QL,74
29,Botellas,Baja,Text,QL,74
28,Spam,Alta,Text,QL,74
2,Cancer,Alta,Pict,QT,75
9,Botellas,Alta,Text,QT,75
15,VIH,Baja,Text,QT,75
8,Spam,Baja,Pict,QT,75
17,Botellas,Alta,Pict,QL,76
23,VIH,Baja,Pict,QL,76
26,Cancer,Alta,Text,QL,76
32,Spam,Baja,Text,QL,76
7,VIH,Baja,Pict,QT,77
4,Spam,Alta,Pict,QT,77
13,Botellas,Baja,Text,QT,77
10,Cancer,Alta,Text,QT,77
23,VIH,Baja,Pict,QL,78
26,Cancer,Alta,Text,QL,78
29,Botellas,Baja,Text,QL,78
20,Spam,Alta,Pict,QL,78
2,Cancer,Alta,Pict,QT,79
8,Spam,Baja,Pict,QT,79
9,Botellas,Alta,Text,QT,79
15,VIH,Baja,Text,QT,79
26,Cancer,Alta,Text,QL,80
17,Botellas,Alta,Pict,QL,80
24,Spam,Baja,Pict,QL,80
31,VIH,Baja,Text,QL,80
5,Botellas,Baja,Pict,QT,81
3,VIH,Alta,Pict,QT,81
16,Spam,Baja,Text,QT,81
10,Cancer,Alta,Text,QT,81
30,Cancer,Baja,Text,QL,82
20,Spam,Alta,Pict,QL,82
27,VIH,Alta,Text,QL,82
21,Botellas,Baja,Pict,QL,82
14,Cancer,Baja,Text,QT,83
1,Botellas,Alta,Pict,QT,83
8,Spam,Baja,Pict,QT,83
11,VIH,Alta,Text,QT,83
21,Botellas,Baja,Pict,QL,84
26,Cancer,Alta,Text,QL,84
32,Spam,Baja,Text,QL,84
19,VIH,Alta,Pict,QL,84
5,Botellas,Baja,Pict,QT,85
15,VIH,Baja,Text,QT,85
4,Spam,Alta,Pict,QT,85
10,Cancer,Alta,Text,QT,85
24,Spam,Baja,Pict,QL,86
27,VIH,Alta,Text,QL,86
29,Botellas,Baja,Text,QL,86
18,Cancer,Alta,Pict,QL,86
2,Cancer,Alta,Pict,QT,87
5,Botellas,Baja,Pict,QT,87
16,Spam,Baja,Text,QT,87
11,VIH,Alta,Text,QT,87
20,Spam,Alta,Pict,QL,88
21,Botellas,Baja,Pict,QL,88
31,VIH,Baja,Text,QL,88
26,Cancer,Alta,Text,QL,88
7,VIH,Baja,Pict,QT,89
2,Cancer,Alta,Pict,QT,89
13,Botellas,Baja,Text,QT,89
12,Spam,Alta,Text,QT,89
18,Cancer,Alta,Pict,QL,90
31,VIH,Baja,Text,QL,90
25,Botellas,Alta,Text,QL,90
24,Spam,Baja,Pict,QL,90
1,Botellas,Alta,Pict,QT,91
16,Spam,Baja,Text,QT,91
7,VIH,Baja,Pict,QT,91
10,Cancer,Alta,Text,QT,91
17,Botellas,Alta,Pict,QL,92
32,Spam,Baja,Text,QL,92
22,Cancer,Baja,Pict,QL,92
27,VIH,Alta,Text,QL,92
8,Spam,Baja,Pict,QT,93
9,Botellas,Alta,Text,QT,93
14,Cancer,Baja,Text,QT,93
3,VIH,Alta,Pict,QT,93
23,VIH,Baja,Pict,QL,94
18,Cancer,Alta,Pict,QL,94
28,Spam,Alta,Text,QL,94
29,Botellas,Baja,Text,QL,94
2,Cancer,Alta,Pict,QT,95
9,Botellas,Alta,Text,QT,95
16,Spam,Baja,Text,QT,95
7,VIH,Baja,Pict,QT,95
17,Botellas,Alta,Pict,QL,96
23,VIH,Baja,Pict,QL,96
32,Spam,Baja,Text,QL,96
26,Cancer,Alta,Text,QL,96
5,Botellas,Baja,Pict,QT,97
12,Spam,Alta,Text,QT,97
3,VIH,Alta,Pict,QT,97
14,Cancer,Baja,Text,QT,97
32,Spam,Baja,Text,QL,98
19,VIH,Alta,Pict,QL,98
26,Cancer,Alta,Text,QL,98
21,Botellas,Baja,Pict,QL,98
1,Botellas,Alta,Pict,QT,99
6,Cancer,Baja,Pict,QT,99
11,VIH,Alta,Text,QT,99
16,Spam,Baja,Text,QT,99
25,Botellas,Alta,Text,QL,100
19,VIH,Alta,Pict,QL,100
24,Spam,Baja,Pict,QL,100
30,Cancer,Baja,Text,QL,100
8,Spam,Baja,Pict,QT,101
1,Botellas,Alta,Pict,QT,101
15,VIH,Baja,Text,QT,101
10,Cancer,Alta,Text,QT,101
30,Cancer,Baja,Text,QL,102
17,Botellas,Alta,Pict,QL,102
24,Spam,Baja,Pict,QL,102
27,VIH,Alta,Text,QL,102
3,VIH,Alta,Pict,QT,103
6,Cancer,Baja,Pict,QT,103
12,Spam,Alta,Text,QT,103
13,Botellas,Baja,Text,QT,103
19,VIH,Alta,Pict,QL,104
22,Cancer,Baja,Pict,QL,104
32,Spam,Baja,Text,QL,104
25,Botellas,Alta,Text,QL,104
8,Spam,Baja,Pict,QT,105
3,VIH,Alta,Pict,QT,105
14,Cancer,Baja,Text,QT,105
9,Botellas,Alta,Text,QT,105
25,Botellas,Alta,Text,QL,106
23,VIH,Baja,Pict,QL,106
30,Cancer,Baja,Text,QL,106
20,Spam,Alta,Pict,QL,106
1,Botellas,Alta,Pict,QT,107
10,Cancer,Alta,Text,QT,107
7,VIH,Baja,Pict,QT,107
16,Spam,Baja,Text,QT,107
21,Botellas,Baja,Pict,QL,108
18,Cancer,Alta,Pict,QL,108
27,VIH,Alta,Text,QL,108
32,Spam,Baja,Text,QL,108
8,Spam,Baja,Pict,QT,109
10,Cancer,Alta,Text,QT,109
1,Botellas,Alta,Pict,QT,109
15,VIH,Baja,Text,QT,109
18,Cancer,Alta,Pict,QL,110
25,Botellas,Alta,Text,QL,110
23,VIH,Baja,Pict,QL,110
32,Spam,Baja,Text,QL,110
13,Botellas,Baja,Text,QT,111
3,VIH,Alta,Pict,QT,111
8,Spam,Baja,Pict,QT,111
10,Cancer,Alta,Text,QT,111
17,Botellas,Alta,Pict,QL,112
23,VIH,Baja,Pict,QL,112
28,Spam,Alta,Text,QL,112
30,Cancer,Baja,Text,QL,112
6,Cancer,Baja,Pict,QT,113
4,Spam,Alta,Pict,QT,113
9,Botellas,Alta,Text,QT,113
15,VIH,Baja,Text,QT,113
25,Botellas,Alta,Text,QL,114
19,VIH,Alta,Pict,QL,114
24,Spam,Baja,Pict,QL,114
30,Cancer,Baja,Text,QL,114
1,Botellas,Alta,Pict,QT,115
11,VIH,Alta,Text,QT,115
8,Spam,Baja,Pict,QT,115
14,Cancer,Baja,Text,QT,115
31,VIH,Baja,Text,QL,116
25,Botellas,Alta,Text,QL,116
20,Spam,Alta,Pict,QL,116
22,Cancer,Baja,Pict,QL,116
6,Cancer,Baja,Pict,QT,117
13,Botellas,Baja,Text,QT,117
3,VIH,Alta,Pict,QT,117
12,Spam,Alta,Text,QT,117
20,Spam,Alta,Pict,QL,118
22,Cancer,Baja,Pict,QL,118
29,Botellas,Baja,Text,QL,118
27,VIH,Alta,Text,QL,118
2,Cancer,Alta,Pict,QT,119
9,Botellas,Alta,Text,QT,119
8,Spam,Baja,Pict,QT,119
15,VIH,Baja,Text,QT,119
18,Cancer,Alta,Pict,QL,120
25,Botellas,Alta,Text,QL,120
23,VIH,Baja,Pict,QL,120
32,Spam,Baja,Text,QL,120
6,Cancer,Baja,Pict,QT,121
13,Botellas,Baja,Text,QT,121
12,Spam,Alta,Text,QT,121
3,VIH,Alta,Pict,QT,121
27,VIH,Alta,Text,QL,122
24,Spam,Baja,Pict,QL,122
29,Botellas,Baja,Text,QL,122
18,Cancer,Alta,Pict,QL,122
2,Cancer,Alta,Pict,QT,123
7,VIH,Baja,Pict,QT,123
13,Botellas,Baja,Text,QT,123
12,Spam,Alta,Text,QT,123
21,Botellas,Baja,Pict,QL,124
32,Spam,Baja,Text,QL,124
18,Cancer,Alta,Pict,QL,124
27,VIH,Alta,Text,QL,124
6,Cancer,Baja,Pict,QT,125
11,VIH,Alta,Text,QT,125
13,Botellas,Baja,Text,QT,125
4,Spam,Alta,Pict,QT,125
25,Botellas,Alta,Text,QL,126
22,Cancer,Baja,Pict,QL,126
31,VIH,Baja,Text,QL,126
20,Spam,Alta,Pict,QL,126
1,Botellas,Alta,Pict,QT,127
14,Cancer,Baja,Text,QT,127
11,VIH,Alta,Text,QT,127
8,Spam,Baja,Pict,QT,127
17,Botellas,Alta,Pict,QL,128
30,Cancer,Baja,Text,QL,128
23,VIH,Baja,Pict,QL,128
28,Spam,Alta,Text,QL,128
6,Cancer,Baja,Pict,QT,129
9,Botellas,Alta,Text,QT,129
3,VIH,Alta,Pict,QT,129
16,Spam,Baja,Text,QT,129
26,Cancer,Alta,Text,QL,130
32,Spam,Baja,Text,QL,130
19,VIH,Alta,Pict,QL,130
21,Botellas,Baja,Pict,QL,130
1,Botellas,Alta,Pict,QT,131
8,Spam,Baja,Pict,QT,131
10,Cancer,Alta,Text,QT,131
15,VIH,Baja,Text,QT,131
20,Spam,Alta,Pict,QL,132
30,Cancer,Baja,Text,QL,132
27,VIH,Alta,Text,QL,132
21,Botellas,Baja,Pict,QL,132
5,Botellas,Baja,Pict,QT,133
4,Spam,Alta,Pict,QT,133
10,Cancer,Alta,Text,QT,133
15,VIH,Baja,Text,QT,133
30,Cancer,Baja,Text,QL,134
24,Spam,Baja,Pict,QL,134
19,VIH,Alta,Pict,QL,134
25,Botellas,Alta,Text,QL,134
1,Botellas,Alta,Pict,QT,135
14,Cancer,Baja,Text,QT,135
12,Spam,Alta,Text,QT,135
7,VIH,Baja,Pict,QT,135
28,Spam,Alta,Text,QL,136
21,Botellas,Baja,Pict,QL,136
18,Cancer,Alta,Pict,QL,136
31,VIH,Baja,Text,QL,136
6,Cancer,Baja,Pict,QT,137
12,Spam,Alta,Text,QT,137
13,Botellas,Baja,Text,QT,137
3,VIH,Alta,Pict,QT,137
32,Spam,Baja,Text,QL,138
18,Cancer,Alta,Pict,QL,138
23,VIH,Baja,Pict,QL,138
25,Botellas,Alta,Text,QL,138
16,Spam,Baja,Text,QT,139
6,Cancer,Baja,Pict,QT,139
11,VIH,Alta,Text,QT,139
1,Botellas,Alta,Pict,QT,139
19,VIH,Alta,Pict,QL,140
21,Botellas,Baja,Pict,QL,140
30,Cancer,Baja,Text,QL,140
28,Spam,Alta,Text,QL,140
7,VIH,Baja,Pict,QT,141
1,Botellas,Alta,Pict,QT,141
12,Spam,Alta,Text,QT,141
14,Cancer,Baja,Text,QT,141
32,Spam,Baja,Text,QL,142
17,Botellas,Alta,Pict,QL,142
27,VIH,Alta,Text,QL,142
22,Cancer,Baja,Pict,QL,142
16,Spam,Baja,Text,QT,143
6,Cancer,Baja,Pict,QT,143
3,VIH,Alta,Pict,QT,143
9,Botellas,Alta,Text,QT,143
17,Botellas,Alta,Pict,QL,144
30,Cancer,Baja,Text,QL,144
23,VIH,Baja,Pict,QL,144
28,Spam,Alta,Text,QL,144
5,Botellas,Baja,Pict,QT,145
11,VIH,Alta,Text,QT,145
2,Cancer,Alta,Pict,QT,145
16,Spam,Baja,Text,QT,145
25,Botellas,Alta,Text,QL,146
20,Spam,Alta,Pict,QL,146
22,Cancer,Baja,Pict,QL,146
31,VIH,Baja,Text,QL,146
1,Botellas,Alta,Pict,QT,147
16,Spam,Baja,Text,QT,147
10,Cancer,Alta,Text,QT,147
7,VIH,Baja,Pict,QT,147
27,VIH,Alta,Text,QL,148
32,Spam,Baja,Text,QL,148
22,Cancer,Baja,Pict,QL,148
17,Botellas,Alta,Pict,QL,148
6,Cancer,Baja,Pict,QT,149
1,Botellas,Alta,Pict,QT,149
11,VIH,Alta,Text,QT,149
16,Spam,Baja,Text,QT,149
17,Botellas,Alta,Pict,QL,150
27,VIH,Alta,Text,QL,150
30,Cancer,Baja,Text,QL,150
24,Spam,Baja,Pict,QL,150
15,VIH,Baja,Text,QT,151
6,Cancer,Baja,Pict,QT,151
12,Spam,Alta,Text,QT,151
1,Botellas,Alta,Pict,QT,151
25,Botellas,Alta,Text,QL,152
22,Cancer,Baja,Pict,QL,152
31,VIH,Baja,Text,QL,152
20,Spam,Alta,Pict,QL,152
4,Spam,Alta,Pict,QT,153
15,VIH,Baja,Text,QT,153
10,Cancer,Alta,Text,QT,153
5,Botellas,Baja,Pict,QT,153
18,Cancer,Alta,Pict,QL,154
31,VIH,Baja,Text,QL,154
28,Spam,Alta,Text,QL,154
21,Botellas,Baja,Pict,QL,154
2,Cancer,Alta,Pict,QT,155
5,Botellas,Baja,Pict,QT,155
12,Spam,Alta,Text,QT,155
15,VIH,Baja,Text,QT,155
27,VIH,Alta,Text,QL,156
32,Spam,Baja,Text,QL,156
21,Botellas,Baja,Pict,QL,156
18,Cancer,Alta,Pict,QL,156
6,Cancer,Baja,Pict,QT,157
1,Botellas,Alta,Pict,QT,157
16,Spam,Baja,Text,QT,157
11,VIH,Alta,Text,QT,157
30,Cancer,Baja,Text,QL,158
23,VIH,Baja,Pict,QL,158
17,Botellas,Alta,Pict,QL,158
28,Spam,Alta,Text,QL,158
3,VIH,Alta,Pict,QT,159
14,Cancer,Baja,Text,QT,159
5,Botellas,Baja,Pict,QT,159
12,Spam,Alta,Text,QT,159
23,VIH,Baja,Pict,QL,160
32,Spam,Baja,Text,QL,160
26,Cancer,Alta,Text,QL,160
17,Botellas,Alta,Pict,QL,160
8,Spam,Baja,Pict,QT,161
15,VIH,Baja,Text,QT,161
10,Cancer,Alta,Text,QT,161
1,Botellas,Alta,Pict,QT,161
19,VIH,Alta,Pict,QL,162
21,Botellas,Baja,Pict,QL,162
26,Cancer,Alta,Text,QL,162
32,Spam,Baja,Text,QL,162
2,Cancer,Alta,Pict,QT,163
8,Spam,Baja,Pict,QT,163
15,VIH,Baja,Text,QT,163
9,Botellas,Alta,Text,QT,163
21,Botellas,Baja,Pict,QL,164
28,Spam,Alta,Text,QL,164
31,VIH,Baja,Text,QL,164
18,Cancer,Alta,Pict,QL,164
7,VIH,Baja,Pict,QT,165
2,Cancer,Alta,Pict,QT,165
12,Spam,Alta,Text,QT,165
13,Botellas,Baja,Text,QT,165
19,VIH,Alta,Pict,QL,166
24,Spam,Baja,Pict,QL,166
29,Botellas,Baja,Text,QL,166
26,Cancer,Alta,Text,QL,166
3,VIH,Alta,Pict,QT,167
5,Botellas,Baja,Pict,QT,167
14,Cancer,Baja,Text,QT,167
12,Spam,Alta,Text,QT,167
27,VIH,Alta,Text,QL,168
32,Spam,Baja,Text,QL,168
21,Botellas,Baja,Pict,QL,168
18,Cancer,Alta,Pict,QL,168
10,Cancer,Alta,Text,QT,169
1,Botellas,Alta,Pict,QT,169
7,VIH,Baja,Pict,QT,169
16,Spam,Baja,Text,QT,169
23,VIH,Baja,Pict,QL,170
26,Cancer,Alta,Text,QL,170
17,Botellas,Alta,Pict,QL,170
32,Spam,Baja,Text,QL,170
2,Cancer,Alta,Pict,QT,171
11,VIH,Alta,Text,QT,171
5,Botellas,Baja,Pict,QT,171
16,Spam,Baja,Text,QT,171
17,Botellas,Alta,Pict,QL,172
24,Spam,Baja,Pict,QL,172
26,Cancer,Alta,Text,QL,172
31,VIH,Baja,Text,QL,172
8,Spam,Baja,Pict,QT,173
13,Botellas,Baja,Text,QT,173
2,Cancer,Alta,Pict,QT,173
11,VIH,Alta,Text,QT,173
19,VIH,Alta,Pict,QL,174
22,Cancer,Baja,Pict,QL,174
25,Botellas,Alta,Text,QL,174
32,Spam,Baja,Text,QL,174
1,Botellas,Alta,Pict,QT,175
8,Spam,Baja,Pict,QT,175
11,VIH,Alta,Text,QT,175
14,Cancer,Baja,Text,QT,175
26,Cancer,Alta,Text,QL,176
31,VIH,Baja,Text,QL,176
20,Spam,Alta,Pict,QL,176
21,Botellas,Baja,Pict,QL,176
7,VIH,Baja,Pict,QT,177
9,Botellas,Alta,Text,QT,177
14,Cancer,Baja,Text,QT,177
4,Spam,Alta,Pict,QT,177
17,Botellas,Alta,Pict,QL,178
28,Spam,Alta,Text,QL,178
22,Cancer,Baja,Pict,QL,178
31,VIH,Baja,Text,QL,178
1,Botellas,Alta,Pict,QT,179
16,Spam,Baja,Text,QT,179
11,VIH,Alta,Text,QT,179
6,Cancer,Baja,Pict,QT,179
21,Botellas,Baja,Pict,QL,180
30,Cancer,Baja,Text,QL,180
20,Spam,Alta,Pict,QL,180
27,VIH,Alta,Text,QL,180
5,Botellas,Baja,Pict,QT,181
10,Cancer,Alta,Text,QT,181
16,Spam,Baja,Text,QT,181
3,VIH,Alta,Pict,QT,181
31,VIH,Baja,Text,QL,182
24,Spam,Baja,Pict,QL,182
18,Cancer,Alta,Pict,QL,182
25,Botellas,Alta,Text,QL,182
15,VIH,Baja,Text,QT,183
8,Spam,Baja,Pict,QT,183
1,Botellas,Alta,Pict,QT,183
10,Cancer,Alta,Text,QT,183
28,Spam,Alta,Text,QL,184
19,VIH,Alta,Pict,QL,184
